order_number,receipt_id,receipt_type,transaction_date,warehouse_info,item_sku,item_name,item_actual_name,item_description_2,item_weight,full_item_image,quantity,unit_price,line_total,department_id,tax_flag,isFSAEligible,subtotal,instant_savings,discount_amount,shop_card_applied,coupon_applied,tax_total,shipping_handling,delivery_fees,surcharges,surcharge_reason,final_total,payment_methods,raw_receipt_hash
21166022701642602131847,164,warehouse,2026-02-14,NEWARK (#1660),373858,/ 1861068,/ 1861068,,,,-1,0,-6,,N,,-6,0,0,0,0,0,0,0,0,,-6,064:-6,140532a5
21134120101272602011301,127,warehouse,2026-02-01,PLEASANTON (#1341),1861068,GODIVASPRING,"Godiva Premium Assortment Spring Box, 11.3 oz",11.3 OZ     P=336,11.3 OZ,https://bfasset.costco-static.com/U447IH35/as/fnjpkf4zff25fq934ms8jc8g/1861068-847__1?auto=webp&format=jpg,1,17.99,17.99,12,N,false,17.99,0,0,0,0,0,0,0,0,,17.99,064:17.99,65d200e9
21166020104622601302012,462,warehouse,2026-01-31,NEWARK (#1660),1935000,PULLUP 2T-3T,"Huggies Pull-Ups Plus Training Pants Unisex, 2T - 3T",P40,,https://bfasset.costco-static.com/U447IH35/as/jkmc3gmb8mr4qtfv24qqqfn9/4000361179-847_twotothree_1?auto=webp&format=jpg,1,39.99,39.99,20,N,,87.42,0,0,0,0,0,0,0,0,,87.42,064:87.42,7293fe17
21166020104622601302012,462,warehouse,2026-01-31,NEWARK (#1660),1352,OG CARROT6LB,"Organic Carrots, 6 lbs",,,https://bfasset.costco-static.com/U447IH35/as/3kx8nfc94ph5gnsshmk5frk/1352-inc__1?auto=webp&format=jpg,1,5.49,5.49,65,N,false,87.42,0,0,0,0,0,0,0,0,,87.42,064:87.42,7293fe17
21166020104622601302012,462,warehouse,2026-01-31,NEWARK (#1660),796993,ORG AVOCADOS,"Organic Avocado Hass Variety, 6-count",,,https://bfasset.costco-static.com/U447IH35/as/nb64nhg5z26cc9c8jhm6qs/796993-inc__1?auto=webp&format=jpg,1,7.99,7.99,65,N,false,87.42,0,0,0,0,0,0,0,0,,87.42,064:87.42,7293fe17
21166020104622601302012,462,warehouse,2026-01-31,NEWARK (#1660),1960946,ONLY BEAN,"The Only Bean Crunchy Roasted Edamame, Sea Salt, 18 oz",W/ AVOCADO OIL 18 OZ P384,18 OZ,https://bfasset.costco-static.com/U447IH35/as/wswhj6rct7cnm73c4953sf/4000380455-847__1?auto=webp&format=jpg,1,8.79,8.79,12,N,false,87.42,2.8,0,0,0,0,0,0,0,Instant Savings,87.42,064:87.42,7293fe17
21166020104622601302012,462,warehouse,2026-01-31,NEWARK (#1660),1068083,ORG FR EGGS,"Kirkland Signature Free-Range Organic Eggs, Large, 24-count",GRADE A T20H18 P360 SL23,,https://bfasset.costco-static.com/U447IH35/as/pqgqg2ns4tkgw8qwvjhf6p/1068083-inc__1?auto=webp&format=jpg,1,7.69,7.69,17,N,false,87.42,0,0,0,0,0,0,0,0,,87.42,064:87.42,7293fe17
21166020104622601302012,462,warehouse,2026-01-31,NEWARK (#1660),1292488,YELLOW TUNA,"Safe Catch Ahi Wild Yellowfin Tuna Steaks, 5 oz, 6-count",TUNA 6/5 OZ  SL420  P528,5 OZ,https://bfasset.costco-static.com/U447IH35/as/cmws9486j73cmqt6bf3fvggn/1292488-847__1?auto=webp&format=jpg,1,14.99,14.99,13,N,false,87.42,3.2,0,0,0,0,0,0,0,Instant Savings,87.42,064:87.42,7293fe17
21166020104622601302012,462,warehouse,2026-01-31,NEWARK (#1660),2619,ORG BANANAS,"Organic Bananas, 3 lbs",3 LB / 1.36 KG,3 LB,https://bfasset.costco-static.com/U447IH35/as/89hm3pmtvbk8pfwh282nt66p/2619-inc__1?auto=webp&format=jpg,1,2.49,2.49,65,N,false,87.42,0,0,0,0,0,0,0,0,,87.42,064:87.42,7293fe17
21166020104622601302012,462,warehouse,2026-01-31,NEWARK (#1660),2110,LEMONS 3LB,"Seedless Lemons, 3 lbs",3LB BAG,3 LB,https://bfasset.costco-static.com/U447IH35/as/479vkt7zv74s9bzc9gc6pgn/1403553-inc__1?auto=webp&format=jpg,1,5.99,5.99,65,N,false,87.42,0,0,0,0,0,0,0,0,,87.42,064:87.42,7293fe17
